,date,bike_id,price,start_time,end_time,start_loc,end_loc
172,"September 9, 2022",731-0923,$0.00,10:17 AM,10:32 AM,Ninth St at Heinz Ave,Berkeley Civic Center
173,"September 9, 2022",258-9703,$0.00,7:36 AM,7:49 AM,Berkeley Civic Center,Ninth St at Heinz Ave
174,"September 7, 2022",258-9703,$0.00,11:22 AM,11:50 AM,Ninth St at Heinz Ave,Berkeley Civic Center
175,"September 7, 2022",258-9703,$0.00,8:48 AM,9:01 AM,Berkeley Civic Center,Ninth St at Heinz Ave
176,"September 5, 2022",80074,$0.00,10:47 PM,10:49 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
177,"September 5, 2022",456-8903,$0.00,12:19 PM,12:25 PM,Berkeley Civic Center,Parker St at Fulton St
178,"September 4, 2022",11442,$0.00,9:25 PM,9:31 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
179,"September 4, 2022",844-9480,$0.00,11:21 AM,11:27 AM,Berkeley Civic Center,Parker St at Fulton St
180,"September 2, 2022",248-9169,$0.00,4:51 PM,4:58 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
181,"September 2, 2022",639-2492,$0.00,12:17 PM,12:32 PM,Ninth St at Heinz Ave,California St at University Ave
182,"September 2, 2022",318-6194,$0.00,9:18 AM,9:30 AM,Berkeley Civic Center,Ninth St at Heinz Ave
183,"August 30, 2022",11458,$0.00,10:23 PM,10:33 PM,Haste St at Telegraph Ave,MLK Jr Way at University Ave
184,"August 29, 2022",14472,$0.00,8:25 PM,8:31 PM,MLK Jr Way at University Ave,Channing Way at Shattuck Ave
185,"August 29, 2022",16626,$0.00,5:06 PM,5:14 PM,Bancroft Way at College Ave,Berkeley Civic Center
186,"August 29, 2022",601-3247,$0.00,10:07 AM,10:27 AM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
187,"August 29, 2022",601-3247,$0.00,7:39 AM,7:51 AM,Berkeley Civic Center,Ninth St at Heinz Ave
188,"August 28, 2022",80198,$0.00,7:33 PM,7:39 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
189,"August 28, 2022",10636,$0.00,12:25 AM,12:36 AM,Bancroft Way at Telegraph Ave,MLK Jr Way at University Ave
190,"August 27, 2022",501-0327,$0.00,12:08 AM,12:11 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
191,"August 27, 2022",13507,$0.00,12:07 AM,12:08 AM,Channing Way at Shattuck Ave,Channing Way at Shattuck Ave
192,"August 26, 2022",501-0327,$0.00,10:31 PM,10:34 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
193,"August 26, 2022",501-0327,$0.00,8:52 PM,8:56 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
194,"August 26, 2022",883-2545,$0.00,10:43 AM,10:51 AM,Bancroft Way at Telegraph Ave,MLK Jr Way at University Ave
195,"August 26, 2022",601-3247,$0.00,9:18 AM,9:36 AM,Ninth St at Heinz Ave,Berkeley Civic Center
196,"August 26, 2022",601-3247,$0.00,7:44 AM,7:56 AM,Berkeley Civic Center,Ninth St at Heinz Ave
197,"August 25, 2022",17186,$0.00,11:45 AM,11:52 AM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
198,"August 24, 2022",341-7060,$0.00,8:27 AM,8:45 AM,Ninth St at Heinz Ave,Berkeley Civic Center
199,"August 24, 2022",341-7060,$0.00,6:21 AM,6:33 AM,Berkeley Civic Center,Ninth St at Heinz Ave
200,"August 22, 2022",454-1868,$0.00,8:19 AM,8:37 AM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
201,"August 22, 2022",454-1868,$0.00,6:37 AM,6:49 AM,Berkeley Civic Center,Ninth St at Heinz Ave
202,"July 15, 2022",393-4494,$0.00,7:31 PM,7:48 PM,Ninth St at Heinz Ave,Berkeley Civic Center
203,"July 15, 2022",741-5680,$0.00,5:50 PM,6:02 PM,Berkeley Civic Center,Ninth St at Heinz Ave
204,"July 14, 2022",17186,$0.00,9:48 PM,10:03 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
205,"July 14, 2022",17321,$0.00,6:56 PM,7:08 PM,Berkeley Civic Center,Ninth St at Heinz Ave
206,"July 11, 2022",68132,$0.00,1:39 PM,1:55 PM,Ninth St at Heinz Ave,Berkeley Civic Center
207,"July 11, 2022",68132,$0.00,10:32 AM,10:44 AM,Berkeley Civic Center,Ninth St at Heinz Ave
208,"July 8, 2022",77947,$0.00,2:08 PM,2:34 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
209,"July 8, 2022",77947,$0.00,11:11 AM,11:23 AM,Berkeley Civic Center,Ninth St at Heinz Ave
210,"July 6, 2022",460-6307,$0.00,1:48 PM,2:02 PM,Ninth St at Heinz Ave,Berkeley Civic Center
211,"July 6, 2022",67079,$0.00,10:47 AM,10:58 AM,Berkeley Civic Center,Ninth St at Heinz Ave
212,"July 6, 2022",16705,$0.00,10:46 AM,10:46 AM,Berkeley Civic Center,Berkeley Civic Center
213,"July 2, 2022",329-8460,$0.00,1:00 PM,1:13 PM,Ninth St at Heinz Ave,Berkeley Civic Center
214,"July 2, 2022",329-8460,$0.00,9:22 AM,9:35 AM,Haste St at Telegraph Ave,Ninth St at Heinz Ave
215,"July 1, 2022",459-4669,$0.00,9:43 AM,9:56 AM,Ninth St at Heinz Ave,Berkeley Civic Center
216,"July 1, 2022",459-4669,$0.00,8:23 AM,8:34 AM,Berkeley Civic Center,Ninth St at Heinz Ave
217,"June 20, 2022",14554,$0.00,8:24 PM,8:41 PM,Ninth St at Heinz Ave,Berkeley Civic Center
218,"June 20, 2022",77409,$0.00,6:39 PM,6:51 PM,Berkeley Civic Center,Ninth St at Heinz Ave
219,"June 18, 2022",331-5587,$0.00,12:37 PM,12:52 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
220,"June 18, 2022",331-5587,$0.00,10:08 AM,10:19 AM,Berkeley Civic Center,Ninth St at Heinz Ave
221,"June 17, 2022",331-5587,$0.00,8:20 PM,8:31 PM,Ninth St at Heinz Ave,Berkeley Civic Center
222,"June 17, 2022",331-5587,$0.00,6:45 PM,7:04 PM,Berkeley Civic Center,Ninth St at Heinz Ave
223,"June 15, 2022",558-9585,$0.00,12:43 PM,12:59 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
224,"June 15, 2022",558-9585,$0.00,10:05 AM,10:16 AM,Berkeley Civic Center,Ninth St at Heinz Ave
225,"June 13, 2022",17073,$0.00,4:29 PM,4:43 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
226,"June 13, 2022",17335,$0.00,2:17 PM,2:30 PM,Berkeley Civic Center,Ninth St at Heinz Ave
227,"June 10, 2022",17335,$0.00,2:58 PM,3:10 PM,Ninth St at Heinz Ave,Berkeley Civic Center
228,"June 10, 2022",17335,$0.00,1:46 PM,1:57 PM,Berkeley Civic Center,Ninth St at Heinz Ave
